Date,EEM,FXE,GLD,HYG,LQD,QQQ,SPY,TLT,USO
2007-04-11,26.965625762939453,120.33721923828125,67.08000183105469,32.02199172973633,50.45320510864258,37.93526077270508,101.38279724121094,48.60700988769531,403.67999267578125
2007-04-12,27.416467666625977,120.79346466064453,66.98999786376953,32.04346466064453,50.52911376953125,38.23558044433594,101.83335876464844,48.61808776855469,413.20001220703125
2007-04-13,27.551055908203125,121.30331420898438,67.83999633789062,31.985157012939453,50.443687438964844,38.31281661987305,102.29800415039062,48.46791076660156,412.1600036621094
2007-04-16,27.878528594970703,121.35697937011719,68.4000015258789,31.97289276123047,50.48640823364258,38.66462707519531,103.2694320678711,48.73495101928711,409.6000061035156
2007-04-17,27.728248596191406,121.54487609863281,68.0,31.957550048828125,50.761653900146484,38.75043487548828,103.54398345947266,49.00755310058594,402.32000732421875
2007-04-18,27.521886825561523,121.786376953125,68.37999725341797,31.966779708862305,50.77584457397461,38.621734619140625,103.67070007324219,49.25233840942383,401.1199951171875
2007-04-19,27.299821853637695,121.96534729003906,67.52999877929688,32.07722473144531,50.809078216552734,38.74186706542969,103.64250946044922,49.168907165527344,393.760009765625
2007-04-20,27.625076293945312,121.83116912841797,68.69999694824219,32.058841705322266,50.794883728027344,38.95637512207031,104.6209945678711,49.04093551635742,400.3999938964844
2007-04-23,27.515159606933594,121.66114807128906,68.26000213623047,32.07722473144531,50.94196701049805,39.01642990112305,104.22679138183594,49.21894454956055,409.760009765625
2007-04-24,27.51067352294922,122.24266052246094,67.7300033569336,32.29821014404297,51.07008361816406,39.21379089355469,104.2690200805664,49.40254211425781,403.1199951171875
2007-04-25,27.851621627807617,122.32313537597656,67.88999938964844,32.3472785949707,50.998878479003906,39.737205505371094,105.22642517089844,49.23012924194336,410.55999755859375
2007-04-26,27.77760124206543,121.9473876953125,66.87000274658203,32.405574798583984,50.88976287841797,39.943153381347656,105.34607696533203,48.87403869628906,407.5199890136719
2007-04-27,27.63852882385254,122.50208282470703,67.55999755859375,32.405574798583984,50.87553024291992,39.960330963134766,105.26161193847656,48.86292266845703,414.7200012207031
2007-04-30,27.10468864440918,122.47526550292969,67.08999633789062,32.408634185791016,51.12228775024414,39.436893463134766,104.3886947631836,49.37474060058594,409.9200134277344
2007-05-01,27.21235466003418,122.10657501220703,66.69000244140625,32.412654876708984,51.093692779541016,39.40255355834961,104.65619659423828,49.41049575805664,402.8800048828125
2007-05-02,27.752925872802734,121.98101806640625,66.66000366210938,32.40034103393555,51.07940673828125,39.83158874511719,105.26859283447266,49.382545471191406,396.7200012207031
2007-05-03,27.986207962036133,121.6222915649414,67.48999786376953,32.40340805053711,51.00788879394531,39.97749710083008,105.83885192871094,49.270870208740234,394.239990234375
2007-05-04,27.97723388671875,122.03483581542969,68.19000244140625,32.44342803955078,51.13182067871094,40.01179504394531,106.24005889892578,49.47188949584961,386.3999938964844
2007-05-07,28.158926010131836,122.04379272460938,68.25,32.440345764160156,51.19376754760742,40.01179504394531,106.26118469238281,49.60585403442383,384.4800109863281
2007-05-08,27.793302536010742,121.54149627685547,67.87999725341797,32.46497344970703,51.165164947509766,40.09761428833008,106.1203842163086,49.49427795410156,389.1199951171875
2007-05-09,28.241914749145508,121.56843566894531,67.44999694824219,32.378807067871094,51.08415603637695,40.18340301513672,106.40901184082031,49.29879379272461,384.0799865722656
2007-05-10,27.551055908203125,121.08411407470703,66.0,32.495731353759766,51.10798645019531,39.63424301147461,105.29680633544922,49.416080474853516,385.20001220703125
2007-05-11,28.25087547302246,121.52364349365234,66.44999694824219,32.51420974731445,51.05556106567383,40.14049530029297,106.19786071777344,49.24299621582031,388.55999755859375
2007-05-14,27.970497131347656,121.5953369140625,66.27999877929688,32.51111602783203,51.003116607666016,39.865936279296875,105.96554565429688,49.114524841308594,388.4800109863281
2007-05-15,28.004154205322266,121.98101806640625,66.54000091552734,32.48652648925781,50.88871765136719,39.55701446533203,105.99372100830078,49.09779739379883,391.9200134277344
2007-05-16,28.410125732421875,121.47872161865234,65.5999984741211,32.572669982910156,51.00788879394531,39.943153381347656,106.71880340576172,49.064247131347656,388.239990234375
2007-05-17,28.306947708129883,121.17382049560547,65.05999755859375,32.563446044921875,50.855384826660156,39.75436782836914,106.50762176513672,48.86327362060547,401.2799987792969
2007-05-18,28.452743530273438,121.42489624023438,65.5199966430664,32.572669982910156,50.71235275268555,40.080448150634766,107.43682098388672,48.53939437866211,400.79998779296875
2007-05-21,28.50433921813965,121.0302734375,65.66999816894531,32.60344696044922,50.779144287109375,40.33784484863281,107.3804702758789,48.68460464477539,406.55999755859375
2007-05-22,28.508821487426758,120.80606079101562,65.19999694824219,32.60650634765625,50.61701202392578,40.3722038269043,107.2959976196289,48.43331527709961,399.3599853515625
2007-05-23,28.46396827697754,121.02128601074219,65.54000091552734,32.5819091796875,50.56932067871094,40.18340301513672,107.31008911132812,48.29370880126953,401.3599853515625
2007-05-24,27.77984046936035,120.68048858642578,64.75,32.59113693237305,50.631309509277344,39.60850143432617,106.3386459350586,48.33839416503906,391.44000244140625
2007-05-25,28.206022262573242,120.85992431640625,64.94000244140625,32.63731002807617,50.59798049926758,39.85734176635742,106.7820816040039,48.22673416137695,396.0
2007-05-29,28.109560012817383,120.87783813476562,65.06999969482422,32.50806427001953,50.49784469604492,40.16625213623047,107.16930389404297,48.221126556396484,387.20001220703125
2007-05-30,28.39667510986328,120.80606079101562,64.72000122070312,32.5819091796875,50.53599166870117,40.492313385009766,108.04216766357422,48.321659088134766,385.67999267578125
2007-05-31,28.4774227142334,120.95850372314453,65.54000091552734,32.52960968017578,50.493099212646484,40.68109130859375,107.92955780029297,48.2322998046875,391.67999267578125
2007-06-01,29.18846321105957,120.78042602539062,66.44000244140625,32.5252571105957,50.299598693847656,40.70683670043945,108.46456909179688,47.978912353515625,395.67999267578125
2007-06-04,29.058366775512695,121.33807373046875,66.54000091552734,32.553070068359375,50.38102722167969,40.82697296142578,108.47866821289062,48.19755554199219,402.79998779296875
2007-06-05,28.957427978515625,121.64385223388672,66.37000274658203,32.50669860839844,50.218204498291016,40.82697296142578,108.04922485351562,47.894840240478516,400.1600036621094
2007-06-06,28.22844886779785,121.46395111083984,66.41000366210938,32.46644592285156,50.26129150390625,40.38933563232422,106.88774871826172,47.87241744995117,402.4800109863281
2007-06-07,27.793302536010742,120.77146911621094,65.26000213623047,32.31481170654297,49.72491455078125,39.762962341308594,104.95887756347656,47.01475524902344,405.20001220703125
2007-06-08,28.284517288208008,120.24990844726562,64.22000122070312,32.22818374633789,49.74888229370117,40.25205993652344,106.32454681396484,46.97549057006836,392.4800109863281
2007-06-11,28.52676773071289,120.19589233398438,64.69999694824219,32.16008758544922,49.59563064575195,40.174842834472656,106.50762176513672,46.840965270996094,398.7200012207031
2007-06-12,28.031064987182617,119.74625396728516,64.0999984741211,31.996122360229492,49.32746124267578,39.93457794189453,105.34607696533203,46.16269302368164,396.4800109863281
2007-06-13,28.591819763183594,119.9350814819336,64.52999877929688,32.051815032958984,49.54294204711914,40.3722038269043,106.92292022705078,46.7120246887207,400.7200012207031
2007-06-14,29.04041862487793,119.8721694946289,64.5999984741211,32.076560974121094,49.52858352661133,40.63820266723633,107.60575866699219,46.59434509277344,408.79998779296875
2007-06-15,29.702104568481445,120.50170135498047,64.8499984741211,32.07039260864258,49.72491455078125,41.01344680786133,108.21797943115234,46.913856506347656,412.239990234375
2007-06-18,29.72902488708496,120.74449920654297,64.94999694824219,32.08893585205078,49.720096588134766,41.02204513549805,108.09073638916016,46.818572998046875,417.1199951171875
2007-06-19,29.76268196105957,120.89739227294922,65.4800033569336,32.12917709350586,50.041011810302734,41.01344680786133,108.35939025878906,47.255821228027344,416.9599914550781
2007-06-20,29.50921630859375,120.78042602539062,64.70999908447266,31.8444881439209,49.80154800415039,40.62702941894531,106.85352325439453,46.87464904785156,412.3999938964844
2007-06-21,29.87706756591797,120.6366195678711,64.55999755859375,31.903276443481445,49.672218322753906,40.99628829956055,107.44739532470703,46.65039825439453,412.79998779296875
2007-06-22,29.482290267944336,121.33807373046875,64.77999877929688,31.965177536010742,49.80636215209961,40.60984420776367,106.43639373779297,46.95311737060547,415.1199951171875
2007-06-25,29.257999420166016,121.37403869628906,64.43000030517578,31.779504776000977,49.86381149291992,40.4380989074707,105.92737579345703,47.21095657348633,415.67999267578125
2007-06-26,29.002296447753906,121.29305267333984,63.619998931884766,31.87232780456543,49.854217529296875,40.20625686645508,104.83860778808594,47.22214126586914,408.9599914550781
2007-06-27,29.415019989013672,121.23912048339844,63.66999816894531,31.760936737060547,49.854217529296875,40.82452392578125,106.33036041259766,47.26703643798828,415.0400085449219
2007-06-28,29.421735763549805,121.23018646240234,64.26000213623047,31.593860626220703,49.80154800415039,40.807373046875,106.31621551513672,47.255821228027344,419.760009765625
2007-06-29,29.52490997314453,122.04855346679688,64.2699966430664,31.50411033630371,50.08409118652344,40.876075744628906,106.35155487060547,47.74346923828125,424.0
2007-07-02,30.123790740966797,122.9241714477539,65.0199966430664,31.75094985961914,49.95997619628906,41.245338439941406,107.31304931640625,47.99448013305664,428.239990234375
2007-07-03,30.363801956176758,122.87007141113281,64.73999786376953,31.691801071166992,49.96958923339844,41.48576736450195,107.70188903808594,47.701904296875,428.32000732421875
2007-07-05,30.498390197753906,122.76185607910156,64.41999816894531,31.576622009277344,49.64727783203125,41.78632354736328,107.58880615234375,47.1672477722168,433.20001220703125
2007-07-06,31.021007537841797,123.00535583496094,64.95999908447266,31.61090087890625,49.551090240478516,41.95807647705078,108.15435791015625,46.975948333740234,437.44000244140625
2007-07-09,31.32157325744629,122.90615844726562,65.37999725341797,31.70736312866211,49.652103424072266,41.983821868896484,108.23920440673828,47.14474868774414,434.79998779296875
2007-07-10,30.704734802246094,123.95225524902344,65.61000061035156,31.623323440551758,49.993648529052734,41.631744384765625,106.69792175292969,47.943817138671875,437.760009765625
2007-07-11,30.958208084106445,124.15963745117188,65.44000244140625,31.386737823486328,49.76755142211914,41.915130615234375,107.45448303222656,47.448638916015625,437.2799987792969
2007-07-12,31.63784408569336,124.46622467041016,66.0199966430664,31.480117797851562,49.5703125,42.5591926574707,109.15120697021484,47.28544235229492,437.9200134277344
2007-07-13,32.03036880493164,124.52037048339844,66.02999877929688,31.61090087890625,49.786781311035156,42.85114669799805,109.47643280029297,47.41487503051758,444.32000732421875
2007-07-16,31.716346740722656,124.44821166992188,65.81999969482422,31.623323440551758,49.916683197021484,42.80821990966797,109.4623031616211,47.87068176269531,446.0799865722656
2007-07-17,31.691679000854492,124.44821166992188,65.75,31.66066551208496,49.81086349487305,43.13455581665039,109.40571594238281,47.7693977355957,445.1199951171875
2007-07-18,31.303634643554688,124.62855529785156,66.62000274658203,31.42410659790039,49.95518112182617,43.083011627197266,109.20775604248047,47.94947814941406,452.6400146484375
2007-07-19,31.615413665771484,124.61055755615234,67.01000213623047,31.45833396911621,49.84934616088867,43.211849212646484,109.63192749023438,47.938194274902344,456.6400146484375
2007-07-20,31.397829055786133,124.90813446044922,67.58000183105469,31.377410888671875,49.988868713378906,42.97998046875,108.5219497680664,48.37144088745117,456.0
2007-07-23,32.30626678466797,124.70074462890625,67.47000122070312,31.308917999267578,49.931087493896484,42.997161865234375,108.85428619384766,48.29269790649414,451.0400085449219
2007-07-24,31.200456619262695,124.8811264038086,67.47000122070312,31.128381729125977,49.86859130859375,42.361698150634766,106.96666717529297,48.47273254394531,441.2799987792969
2007-07-25,31.379880905151367,123.98828125,66.9000015258789,30.832670211791992,49.90706253051758,42.421791076660156,107.18578338623047,48.568450927734375,459.5199890136719
2007-07-26,29.78061866760254,124.21376037597656,65.6500015258789,30.396833419799805,49.80122756958008,42.06111526489258,104.64772033691406,48.97361755371094,449.760009765625
2007-07-27,29.394817352294922,123.31195068359375,65.41000366210938,29.889467239379883,49.618408203125,41.21097183227539,102.59043884277344,49.11426544189453,461.9200134277344
2007-07-30,30.357074737548828,123.86199188232422,65.7699966430664,30.178951263427734,49.69537353515625,41.69184875488281,104.19525146484375,48.97361755371094,460.0
